vinter ÅR,vår År,ISLÄGGNING,ISLOSSNING,Varaktighet
1872,1873,1872-11-25,1872-06-25,212
1897,1898,,,
1898,1899,,1899-06-22,
1899,1900,,1900-06-29,
1900,1901,,1901-06-12,
1907,1908,,,
1908,1909,,1909-06-22,
1909,1910,,,
1910,1911,1910-11-12,,
1911,1912,,,
1912,1913,1912-12-07,,
1913,1914,1913-12-24,,
1914,1915,,,
1915,1916,1915-12-14,1916-06-26,195
1916,1917,,1917-06-26,
1917,1918,1917-11-29,1918-06-14,197
1918,1919,1918-12-25,1919-06-09,166
1919,1920,1919-11-16,1920-06-09,206
1920,1921,1921-01-01,1921-05-31,150
1921,1922,1921-12-26,1922-06-11,167
1922,1923,1922-12-05,1923-06-20,197
1923,1924,1923-12-19,1924-06-24,188
1924,1925,1925-02-07,1925-06-01,114
1925,1926,1925-12-02,1926-06-23,203
1926,1927,1926-12-07,1927-06-25,200
1927,1928,1927-12-07,,
1928,1929,1928-12-19,1929-06-20,183
1929,1930,1930-01-07,1930-06-04,148
1930,1931,1930-12-13,1931-06-22,191
1931,1932,1931-12-31,1932-06-04,156
1932,1933,1932-12-23,1933-06-21,180
1933,1934,1933-12-31,1934-06-02,153
1934,1935,1934-12-24,1935-06-24,182
1935,1936,1935-12-09,1936-06-06,180
1936,1937,1937-01-19,1937-05-30,131
1937,1938,1937-12-15,1938-06-10,177
1938,1939,1939-01-07,1939-06-20,164
1939,1940,1939-12-24,1940-06-04,163
1940,1941,1940-12-11,1941-06-24,195
1941,1942,1941-12-11,1942-06-16,187
1942,1943,1942-12-03,1943-06-16,195
1943,1944,1944-01-08,1944-06-13,157
1944,1945,1944-12-22,1945-06-10,170
1945,1946,1945-12-23,1946-06-18,177
1946,1947,1947-01-09,1947-06-14,156
1947,1948,1947-12-12,1948-06-02,173
1948,1949,1949-01-16,1949-06-04,139
1949,1950,1949-12-31,1950-06-17,168
1950,1951,1950-12-17,1951-06-30,195
1951,1952,1951-12-10,1952-06-06,179
1952,1953,1952-12-01,1953-06-16,197
1953,1954,1954-01-19,1954-06-02,134
1954,1955,1954-12-26,1955-06-24,180
1955,1956,1955-12-10,1956-06-19,192
1956,1957,1956-11-30,1957-06-13,195
1957,1958,1957-12-29,1958-06-22,175
1958,1959,1958-12-18,1959-06-04,168
1959,1960,1959-12-28,1960-05-31,155
1960,1961,1960-12-20,1961-06-10,172
1961,1962,1961-12-13,1962-06-18,187
1962,1963,1962-12-15,1963-05-29,165
1963,1964,1963-12-21,1964-06-09,171
1964,1965,1964-12-02,1965-06-22,202
1965,1966,1965-12-05,1966-06-21,198
1966,1967,1966-12-22,1967-06-17,177
1967,1968,1967-12-17,1968-06-25,191
1968,1969,1968-12-27,1969-06-24,179
1969,1970,1969-12-18,1970-06-14,178
1970,1971,1970-12-30,1971-06-18,170
1971,1972,1972-01-05,1972-06-18,165
1972,1973,1972-12-12,1973-06-14,184
1973,1974,1973-12-02,1974-06-11,191
1974,1975,1974-12-27,1975-06-10,165
1975,1976,1975-12-30,1976-06-11,164
1976,1977,1976-12-14,1977-06-17,185
1977,1978,1977-12-28,1978-06-10,164
1978,1979,1978-12-02,1979-06-13,193
1979,1980,1979-12-12,1980-06-10,181
1980,1981,1980-12-08,1981-06-21,195
1981,1982,1981-12-10,1982-06-23,195
1982,1983,1982-12-19,1983-06-04,167
1983,1984,1983-12-12,1984-06-02,173
1984,1985,1984-12-29,1985-06-17,170
1985,1986,1985-12-07,1986-06-01,176
1986,1987,1986-12-20,1987-06-22,184
1987,1988,1987-12-14,1988-06-12,181
1988,1989,1988-12-25,1989-05-27,153
1989,1990,1989-12-17,1990-05-30,164
1990,1991,1991-01-09,1991-06-09,151
1991,1992,1992-01-09,1992-06-03,146
1992,1993,1993-01-06,1993-06-21,166
1993,1994,1993-12-13,1994-06-12,181
1994,1995,1994-12-31,1995-06-10,161
1995,1996,1995-12-20,1996-06-14,177
1996,1997,1996-12-22,1997-06-16,176
1997,1998,1997-12-30,1998-06-21,173
1998,1999,1998-11-19,1999-06-10,203
1999,2000,2000-01-22,2000-06-03,133
2000,2001,2001-01-09,2001-06-06,148
2001,2002,2001-12-26,2002-05-17,142
2002,2003,2002-12-22,2003-06-07,167
2003,2004,2003-12-22,2004-06-01,162
2004,2005,2005-01-22,2005-06-01,130
2005,2006,2005-12-27,2006-06-03,158
2006,2007,2007-01-12,2007-05-27,135
2007,2008,2008-01-23,2008-06-07,136
2008,2009,2009-01-16,2009-05-26,130
2009,2010,2009-12-31,2010-06-15,166
2010,2011,2010-12-14,2011-06-05,173
2011,2012,2012-01-25,2012-06-13,140
2012,2013,2012-12-21,2013-06-03,164
2013,2014,2014-01-12,2014-06-08,147
2014,2015,2014-12-24,2015-06-08,166
2015,2016,2016-01-08,2016-05-29,142
2016,2017,2017-02-06,2017-06-11,125
2017,2018,2017-12-17,2018-05-26,160
2018,2019,2019-01-24,2019-06-01,128
2019,2020,2020-01-25,2020-06-04,131
